event_sequence,utc,seconds_from_first_sample,seconds_from_flash_runner_complete,channel_0,channel_1,gain_index,integration_index,density_estimate,saturated,valid
219,2026-07-15T01:23:25.504645480Z,20.204328174,4.434594516,2097,217,2,0,0.642133765677,0,1
220,2026-07-15T01:23:25.605028914Z,20.304711608,4.534977950,2091,216,2,0,0.643371173827,0,1
221,2026-07-15T01:23:25.705600336Z,20.405283030,4.635549372,2079,215,2,0,0.645856776875,0,1
222,2026-07-15T01:23:25.806128915Z,20.505811609,4.736077951,2022,209,2,0,0.657864639539,0,1
223,2026-07-15T01:23:25.906742830Z,20.606425524,4.836691866,1997,206,2,0,0.663239422428,0,1
224,2026-07-15T01:23:26.007325335Z,20.707008029,4.937274371,1967,203,2,0,0.669779524015,0,1
225,2026-07-15T01:23:26.107962539Z,20.807645233,5.037911575,1885,194,2,0,0.688182897509,0,1
226,2026-07-15T01:23:26.208438407Z,20.908121101,5.138387443,1873,193,2,0,0.690943655241,0,1
227,2026-07-15T01:23:26.309069775Z,21.008752469,5.239018811,1872,193,2,0,0.691174523593,0,1
228,2026-07-15T01:23:26.409689298Z,21.109371992,5.339638334,1873,193,2,0,0.690943655241,0,1
229,2026-07-15T01:23:26.510201554Z,21.209884248,5.440150590,1873,193,2,0,0.690943655241,0,1
230,2026-07-15T01:23:26.610693670Z,21.310376364,5.540642706,1873,193,2,0,0.690943655241,0,1
231,2026-07-15T01:23:26.711282301Z,21.410964995,5.641231337,1874,193,2,0,0.690712911255,0,1
232,2026-07-15T01:23:26.811795812Z,21.511478506,5.741744848,1874,193,2,0,0.690712911255,0,1
233,2026-07-15T01:23:26.912445138Z,21.612127832,5.842394174,1874,193,2,0,0.690712911255,0,1
234,2026-07-15T01:23:27.013120039Z,21.712802733,5.943069075,1873,193,2,0,0.690943655241,0,1
235,2026-07-15T01:23:27.113641015Z,21.813323709,6.043590051,2016,208,2,0,0.659148446118,0,1
236,2026-07-15T01:23:27.214170797Z,21.913853491,6.144119833,2118,219,2,0,0.637830801993,0,1
237,2026-07-15T01:23:27.314729202Z,22.014411896,6.244678238,2119,219,2,0,0.637626974395,0,1
238,2026-07-15T01:23:27.415207041Z,22.114889735,6.345156077,2062,213,2,0,0.649402946578,0,1
239,2026-07-15T01:23:27.515613334Z,22.215296028,6.445562370,2154,223,2,0,0.630553504526,0,1
240,2026-07-15T01:23:27.616285436Z,22.315968130,6.546234472,2070,214,2,0,0.647730499827,0,1
241,2026-07-15T01:23:27.716837640Z,22.416520334,6.646786676,2049,211,2,0,0.652134689636,0,1
242,2026-07-15T01:23:27.817280466Z,22.516963160,6.747229502,2017,208,2,0,0.658934210789,0,1
243,2026-07-15T01:23:27.917889073Z,22.617571767,6.847838109,2149,222,2,0,0.631556868036,0,1
244,2026-07-15T01:23:28.018412446Z,22.718095140,6.948361482,2187,226,2,0,0.623989682261,0,1
245,2026-07-15T01:23:28.118860187Z,22.818542881,7.048809223,2199,228,2,0,0.621627591825,0,1
246,2026-07-15T01:23:28.219275819Z,22.918958513,7.149224855,2203,228,2,0,0.620843118340,0,1
247,2026-07-15T01:23:28.319713212Z,23.019395906,7.249662248,2200,228,2,0,0.621431338522,0,1
248,2026-07-15T01:23:28.420294796Z,23.119977490,7.350243832,2203,228,2,0,0.620843118340,0,1
249,2026-07-15T01:23:28.520768441Z,23.220451135,7.450717477,2206,229,2,0,0.620255706030,0,1
250,2026-07-15T01:23:28.621406085Z,23.321088779,7.551355121,2209,229,2,0,0.619669099385,0,1
251,2026-07-15T01:23:28.721943921Z,23.421626615,7.651892957,2211,229,2,0,0.619278474795,0,1
252,2026-07-15T01:23:28.822568260Z,23.522250954,7.752517296,2212,229,2,0,0.619083296209,0,1
253,2026-07-15T01:23:28.923055948Z,23.622738642,7.853004984,2214,229,2,0,0.618693206049,0,1
254,2026-07-15T01:23:29.023681295Z,23.723363989,7.953630331,2215,230,2,0,0.618498294313,0,1
255,2026-07-15T01:23:29.124244016Z,23.823926710,8.054193052,2215,230,2,0,0.618498294313,0,1
256,2026-07-15T01:23:29.224657124Z,23.924339818,8.154606160,2197,228,2,0,0.622020368789,0,1
257,2026-07-15T01:23:29.325003413Z,24.024686107,8.254952449,2130,220,2,0,0.635391256320,0,1
258,2026-07-15T01:23:29.425331205Z,24.125013899,8.355280241,2122,219,2,0,0.637016073566,0,1
259,2026-07-15T01:23:29.525677553Z,24.225360247,8.455626589,1991,206,2,0,0.664539474407,0,1
260,2026-07-15T01:23:29.676177070Z,24.375859764,8.606126106,2148,222,2,0,0.631757823444,0,1
261,2026-07-15T01:23:29.776613796Z,24.476296490,8.706562832,2066,213,2,0,0.648565906218,0,1
262,2026-07-15T01:23:29.877035507Z,24.576718201,8.806984543,2039,210,2,0,0.654247959651,0,1
263,2026-07-15T01:23:29.977544896Z,24.677227590,8.907493932,1983,205,2,0,0.666279041160,0,1
264,2026-07-15T01:23:30.078037759Z,24.777720453,9.007986795,1874,193,2,0,0.690712911255,0,1
265,2026-07-15T01:23:30.178625440Z,24.878308134,9.108574476,1645,169,2,0,0.747090226229,0,1
266,2026-07-15T01:23:30.279115713Z,24.978798407,9.209064749,1907,196,2,0,0.683167266964,0,1
267,2026-07-15T01:23:30.379564960Z,25.079247654,9.309513996,2043,211,2,0,0.653401399112,0,1
268,2026-07-15T01:23:30.480142016Z,25.179824710,9.410091052,2085,215,2,0,0.644612170634,0,1
269,2026-07-15T01:23:30.580707502Z,25.280390196,9.510656538,2179,226,2,0,0.625571687393,0,1
270,2026-07-15T01:23:30.681263269Z,25.380945963,9.611212305,2167,224,2,0,0.627955720059,0,1
271,2026-07-15T01:23:30.781686973Z,25.481369667,9.711636009,2075,214,2,0,0.646688529954,0,1
272,2026-07-15T01:23:30.882290044Z,25.581972738,9.812239080,2053,212,2,0,0.651292294662,0,1
